localtime,time,symbol,signal,signal_sim,SameFlag
09:39:50.019290255,09:39:50.000000000,sh603988,10.279000000000002,11.279000000000002,0
09:39:52.672982346,09:39:52.000000000,sh603988,12.4478,13.4478,0
09:39:55.672267988,09:39:55.000000000,sh603988,16.2695,17.2695,0
09:39:58.676959775,09:39:58.000000000,sh603988,7.72598,8.72598,0
09:40:01.677595179,09:40:01.000000000,sh603988,1.58617,2.58617,0
09:40:04.670076657,09:40:04.000000000,sh603988,13.8712,14.8712,0
09:40:07.336159567,09:40:07.000000000,sh603988,5.06976,6.06976,0
09:40:10.338867913,09:40:10.000000000,sh603988,13.903,14.903,0
09:40:13.337938392,09:40:13.000000000,sh603988,10.0199,11.0199,0
09:40:16.341442379,09:40:16.000000000,sh603988,12.3874,13.3874,0
09:40:19.334666888,09:40:19.000000000,sh603988,-12.3653,-11.3653,0
09:40:22.340629241,09:40:22.000000000,sh603988,-9.43322,-8.43322,0
09:40:25.338663412,09:40:25.000000000,sh603988,-13.2544,-12.2544,0
09:40:28.336259674,09:40:28.000000000,sh603988,-18.0756,-17.0756,0
09:40:31.346816447,09:40:31.000000000,sh603988,-7.09445,-6.09445,0
09:40:34.334417186,09:40:34.000000000,sh603988,1.43701,2.43701,0
09:40:37.346011372,09:40:37.000000000,sh603988,0.537323,1.537323,0
09:40:40.345864513,09:40:40.000000000,sh603988,4.75412,5.75412,0
09:40:43.343918212,09:40:43.000000000,sh603988,7.56521,8.56521,0
09:40:46.344707640,09:40:46.000000000,sh603988,-4.12061,-3.12061,0
09:40:49.343176925,09:40:49.000000000,sh603988,0.968546,1.968546,0
09:40:52.338518078,09:40:52.000000000,sh603988,7.550510000000001,8.550510000000001,0
09:40:55.343737049,09:40:55.000000000,sh603988,6.59174,7.59174,0
09:40:58.340666016,09:40:58.000000000,sh603988,3.773530000000001,4.773530000000001,0
09:41:01.332160392,09:41:01.000000000,sh603988,4.83283,5.83283,0
09:41:04.336113825,09:41:04.000000000,sh603988,2.8745,3.8745,0
09:41:07.346273012,09:41:07.000000000,sh603988,6.20874,7.20874,0
09:41:10.339541217,09:41:10.000000000,sh603988,9.14355,10.14355,0
09:41:13.336242160,09:41:13.000000000,sh603988,10.0385,11.0385,0
09:41:16.345326187,09:41:16.000000000,sh603988,8.46255,9.46255,0
09:41:19.343126005,09:41:19.000000000,sh603988,16.9309,17.9309,0
09:41:22.340701989,09:41:22.000000000,sh603988,15.7914,16.7914,0
09:41:25.343540335,09:41:25.000000000,sh603988,5.8817,6.8817,0
09:41:28.334264341,09:41:28.000000000,sh603988,9.36735,10.36735,0
09:41:31.333524793,09:41:31.000000000,sh603988,18.1222,19.1222,0
09:41:34.339846496,09:41:34.000000000,sh603988,16.0894,17.0894,0
09:41:37.338752113,09:41:37.000000000,sh603988,11.6482,12.6482,0
09:41:40.332469152,09:41:40.000000000,sh603988,7.46116,8.46116,0
