,localtime,time,symbol,signal,bvol1,bid1,avol1,ask1,mid,direction,volume,exposure
3983,14:19:34.287406685,14:19:34.000000000,sh600163,10.2508,108004,7.86,800,7.87,7.865,,0.0,0.0
3984,14:19:37.289307352,14:19:37.000000000,sh600163,0.603528,7800,7.87,17900,7.88,7.875,,0.0,0.0
3985,14:19:40.288745898,14:19:40.000000000,sh600163,1.0711,8100,7.87,17900,7.88,7.875,,0.0,0.0
3986,14:19:43.286099413,14:19:43.000000000,sh600163,1.8148900000000001,9600,7.87,12900,7.88,7.875,,0.0,0.0
3987,14:19:46.284052597,14:19:46.000000000,sh600163,3.4892199999999995,9600,7.87,10000,7.88,7.875,,0.0,0.0
3988,14:19:49.284016527,14:19:49.000000000,sh600163,3.67403,19800,7.87,7700,7.88,7.875,,0.0,0.0
3989,14:19:52.290586923,14:19:52.000000000,sh600163,2.56835,19800,7.87,7500,7.88,7.875,,0.0,0.0
3990,14:19:54.946995164,14:19:55.000000000,sh600163,0.885617,8800,7.87,7000,7.88,7.875,,0.0,0.0
3991,14:19:57.946739787,14:19:58.000000000,sh600163,3.4743199999999996,5000,7.87,4100,7.88,7.875,,0.0,0.0
3992,14:20:01.533150016,14:20:01.000000000,sh600163,6.368869999999999,7800,7.87,3900,7.88,7.875,,0.0,0.0
3993,14:20:04.788233471,14:20:04.000000000,sh600163,5.87627,8000,7.87,4200,7.88,7.875,,0.0,0.0
3994,14:20:07.793560850,14:20:07.000000000,sh600163,5.55874,8000,7.87,1600,7.88,7.875,,0.0,0.0
3995,14:20:10.737737267,14:20:10.000000000,sh600163,8.64659,19800,7.87,1600,7.88,7.875,,0.0,0.0
